user_id,movie_id,rating,timestamp
119,244,5,2024-05-30 23:51:49
428,276,2,2025-12-11 00:09:21
490,218,5,2025-09-13 08:54:29
68,40,3,2024-11-06 18:04:51
497,201,5,2025-08-06 22:32:36
420,254,4,2024-05-28 21:17:21
310,246,5,2024-07-22 20:31:38
151,116,5,2025-08-15 17:18:47
242,278,4,2024-06-15 07:16:27
384,42,4,2024-03-26 01:42:49
549,286,2,2024-03-26 19:43:23
518,56,3,2025-11-14 18:17:24
296,174,3,2024-06-16 03:25:56
134,284,1,2025-07-19 11:45:00
213,13,3,2024-01-21 10:51:07
527,50,5,2025-06-23 14:26:49
488,276,5,2024-01-10 18:16:12
188,5,5,2024-04-28 23:46:56
100,120,5,2025-11-17 07:06:00
271,264,2,2024-05-01 20:37:10
418,59,4,2025-03-06 14:25:01
173,114,3,2025-04-08 14:26:22
206,39,3,2024-04-29 02:03:17
507,211,1,2024-04-24 17:40:01
470,65,5,2025-01-31 03:07:28
281,50,5,2024-06-06 17:40:05
290,223,5,2025-06-16 20:52:05
591,158,2,2024-03-21 10:35:53
531,70,3,2025-11-10 02:48:27
60,256,2,2025-11-07 18:17:05
435,106,3,2025-06-28 19:04:35
508,70,4,2025-01-17 21:11:41
480,31,1,2025-06-10 02:35:20
132,158,4,2025-06-07 14:46:52
307,3,2,2025-06-23 11:01:25
121,292,3,2025-12-01 19:07:52
394,50,3,2024-08-03 21:25:53
455,152,3,2024-01-03 16:33:25
317,223,3,2024-08-07 20:34:10
298,77,5,2024-11-13 16:25:16
195,252,3,2024-05-21 02:37:24
598,297,1,2024-12-01 16:08:21
143,297,5,2025-08-02 21:44:06
226,223,5,2024-06-08 18:37:34
540,25,3,2024-03-27 03:12:27
115,292,4,2025-12-19 05:31:17
233,137,3,2025-06-19 15:34:08
505,239,2,2024-05-16 00:12:28
59,96,4,2024-06-25 05:43:08
521,9,3,2024-06-17 06:16:59
416,89,4,2025-09-10 03:04:52
273,104,2,2025-01-02 14:24:27
16,8,4,2025-12-25 09:50:40
178,3,5,2024-09-07 15:28:57
325,220,4,2024-02-24 12:45:31
585,225,4,2025-08-19 22:31:46
129,1,4,2025-08-27 19:22:22
293,130,1,2024-12-12 01:31:54
462,102,4,2025-03-08 06:18:26
342,44,1,2025-07-10 17:29:32
199,83,3,2025-02-15 07:45:54
236,156,4,2024-03-30 05:06:48
423,117,3,2024-12-12 18:56:51
140,273,3,2025-12-28 21:41:44
521,213,4,2024-07-15 07:31:45
342,196,3,2024-10-16 14:18:37
373,67,2,2024-12-24 05:52:16
373,102,2,2024-10-10 12:54:25
442,128,3,2024-10-13 08:17:43
114,274,3,2024-02-12 15:16:40
231,196,4,2025-07-31 05:58:37
273,152,3,2024-01-24 10:58:03
593,175,4,2025-03-26 11:25:26
297,63,2,2025-09-03 01:00:05
599,277,4,2024-01-06 04:35:00
475,83,4,2025-11-11 20:00:43
289,256,5,2025-10-26 23:57:28
77,8,2,2024-08-14 21:22:18
177,94,3,2025-03-28 18:49:05
452,286,5,2024-08-25 19:24:51
466,171,1,2025-08-09 19:55:22
425,158,2,2025-05-20 20:46:34
12,273,4,2025-04-04 21:57:29
296,19,5,2024-02-14 12:56:48
82,43,2,2024-10-11 00:56:36
44,188,3,2024-01-10 08:06:39
259,133,5,2025-04-22 08:15:27
425,195,3,2024-08-12 01:11:34
200,181,3,2024-01-01 09:13:47
140,146,1,2025-05-04 08:30:07
78,211,5,2025-12-21 12:24:08
332,73,5,2025-10-14 01:30:39
7,155,1,2024-03-03 20:35:17
362,100,5,2025-05-25 20:06:24
208,111,2,2024-11-20 19:25:10
468,67,4,2025-03-07 06:54:40
286,170,3,2024-10-02 17:56:17
41,104,3,2025-07-10 14:51:04
404,273,3,2025-12-16 22:05:39
428,1,4,2024-11-13 12:21:23
436,31,5,2024-03-29 04:28:11
319,256,2,2024-04-17 06:24:35
69,2,5,2024-05-10 22:01:25
11,271,2,2024-06-11 02:30:58
524,7,1,2025-02-07 20:04:41
221,72,3,2024-02-26 15:52:19
582,286,2,2025-05-16 14:03:53
471,196,4,2024-10-29 06:07:07
529,42,3,2025-07-29 02:30:21
251,118,5,2025-03-05 07:55:55
419,206,5,2024-04-24 16:34:18
23,128,5,2025-04-23 22:29:12
